	x	y	name
100	-0.22401029416722829	0.2974858463721689	Hooligan
101	0.08472697242598458	0.09785586999474812	iMba
102	-0.8152480424658909	0.07616609928889125	Inkognito
103	0.049021482280054304	0.3038359690292597	Ins1De
104	0.3324346254527261	0.4495795345714379	In Time
105	-0.17659031808664638	0.23654426515897176	Ist Sam
106	-0.5748018007652426	0.1165966378051569	Jahmal
107	-0.7960167955714922	-0.4370380198687071	Jambazi
108	0.08840033528641159	0.031282990938844936	Jazzy Ponika
109	0.11610040229023641	-0.017289840456334075	Jerr
110	-0.04467585209895747	0.06652002109157572	JohnyBoy
111	-0.3250414854326154	0.2052918950267012	Jubilee
112	0.6215068452240706	-0.5436997198700916	Julia Marks
113	-0.22529232204724484	-0.11497017838013451	Just Jazz
